,long,short,ticker,timestamp
0,Bitcoin,BTC,BTC/USD,2018-05-02 12:20:06.608871
1,Ethereum,ETH,ETH/USD,2018-05-02 12:20:06.608871
2,Ripple,XRP,XRP/USD,2018-05-02 12:20:06.608871
3,Bitcoin Cash,BCH,BCH/USD,2018-05-02 12:20:06.608871
4,EOS,EOS,EOS/USD,2018-05-02 12:20:06.608871
5,Cardano,ADA,ADA/USD,2018-05-02 12:20:06.608871
6,Litecoin,LTC,LTC/USD,2018-05-02 12:20:06.608871
7,Stellar,XLM,XLM/USD,2018-05-02 12:20:06.608871
8,IOTA,IOT,IOT/USD,2018-05-02 12:20:06.608871
9,TRON,TRX,TRX/USD,2018-05-02 12:20:06.608871
10,NEO,NEO,NEO/USD,2018-05-02 12:20:06.608871
11,Monero,XMR,XMR/USD,2018-05-02 12:20:06.608871
12,Dash,DASH,DASH/USD,2018-05-02 12:20:06.608871
13,NEM,XEM,XEM/USD,2018-05-02 12:20:06.608871
14,VeChain,VEN,VEN/USD,2018-05-02 12:20:06.608871
15,Tether,USDT,USDT/USD,2018-05-02 12:20:06.608871
16,Ethereum Classic,ETC,ETC/USD,2018-05-02 12:20:06.608871
17,Qtum,QTUM,QTUM/USD,2018-05-02 12:20:06.608871
18,OmiseGO,OMG,OMG/USD,2018-05-02 12:20:06.608871
19,ICON,ICX,ICX/USD,2018-05-02 12:20:06.608871
20,Binance Coin,BNB,BNB/USD,2018-05-02 12:20:06.608871
21,Lisk,LSK,LSK/USD,2018-05-02 12:20:06.608871
22,Bitcoin Gold,BTG,BTG/USD,2018-05-02 12:20:06.608871
23,Verge,XVG,XVG/USD,2018-05-02 12:20:06.608871
24,Zcash,ZEC,ZEC/USD,2018-05-02 12:20:06.608871
25,Nano,NANO,NANO/USD,2018-05-02 12:20:06.608871
26,Aeternity,AE,AE/USD,2018-05-02 12:20:06.608871
27,Steem,STEEM,STEEM/USD,2018-05-02 12:20:06.608871
28,Bytecoin,BCN,BCN/USD,2018-05-02 12:20:06.608871
29,BitShares,BTS,BTS/USD,2018-05-02 12:20:06.608871
30,Bytom,BTM,BTM/USD,2018-05-02 12:20:06.608871
31,Ontology,ONT,ONT/USD,2018-05-02 12:20:06.608871
32,Siacoin,SC,SC/USD,2018-05-02 12:20:06.608871
33,Wanchain,WAN,WAN/USD,2018-05-02 12:20:06.608871
34,Populous,PPT,PPT/USD,2018-05-02 12:20:06.608871
35,Zilliqa,ZIL,ZIL/USD,2018-05-02 12:20:06.608871
36,Bitcoin Diamond,BCD,BCD/USD,2018-05-02 12:20:06.608871
37,Bitcoin Private,BTCP,BTCP/USD,2018-05-02 12:20:06.608871
38,Stratis,STRAT,STRAT/USD,2018-05-02 12:20:06.608871
39,Waves,WAVES,WAVES/USD,2018-05-02 12:20:06.608871
40,CRYPTO20,C20,C20/USD,2018-05-02 12:20:06.608871
41,0x,ZRX,ZRX/USD,2018-05-02 12:20:06.608871
42,RChain,RHOC,RHOC/USD,2018-05-02 12:20:06.608871
43,Maker,MKR,MKR/USD,2018-05-02 12:20:06.608871
44,Dogecoin,DOGE,DOGE/USD,2018-05-02 12:20:06.608871
45,Decred,DCR,DCR/USD,2018-05-02 12:20:06.608871
46,Golem,GNT,GNT/USD,2018-05-02 12:20:06.608871
47,Status,SNT,SNT/USD,2018-05-02 12:20:06.608871
48,Hshare,HSR,HSR/USD,2018-05-02 12:20:06.608871
49,DigixDAO,DGD,DGD/USD,2018-05-02 12:20:06.608871
50,Mixin,XIN,XIN/USD,2018-05-02 12:20:06.608871
51,Loopring,LRC,LRC/USD,2018-05-02 12:20:06.608871
52,IOStoken,IOST,IOST/USD,2018-05-02 12:20:06.608871
53,Aion,AION,AION/USD,2018-05-02 12:20:06.608871
54,Basic Attenti...,BAT,BAT/USD,2018-05-02 12:20:06.608871
55,aelf,ELF,ELF/USD,2018-05-02 12:20:06.608871
56,DigiByte,DGB,DGB/USD,2018-05-02 12:20:06.608871
57,Waltonchain,WTC,WTC/USD,2018-05-02 12:20:06.608871
58,Augur,REP,REP/USD,2018-05-02 12:20:06.608871
59,Ardor,ARDR,ARDR/USD,2018-05-02 12:20:06.608871
60,Komodo,KMD,KMD/USD,2018-05-02 12:20:06.608871
61,Mithril,MITH,MITH/USD,2018-05-02 12:20:06.608871
62,Nebulas,NAS,NAS/USD,2018-05-02 12:20:06.608871
63,Ark,ARK,ARK/USD,2018-05-02 12:20:06.608871
64,Substratum,SUB,SUB/USD,2018-05-02 12:20:06.608871
65,Kyber Network,KNC,KNC/USD,2018-05-02 12:20:06.608871
66,PIVX,PIVX,PIVX/USD,2018-05-02 12:20:06.608871
67,MonaCoin,MONA,MONA/USD,2018-05-02 12:20:06.608871
68,QASH,QASH,QASH/USD,2018-05-02 12:20:06.608871
69,Gas,GAS,GAS/USD,2018-05-02 12:20:06.608871
70,KuCoin Shares,KCS,KCS/USD,2018-05-02 12:20:06.608871
71,ReddCoin,RDD,RDD/USD,2018-05-02 12:20:06.608871
72,WaykiChain,WICC,WICC/USD,2018-05-02 12:20:06.608871
73,Syscoin,SYS,SYS/USD,2018-05-02 12:20:06.608871
74,Cortex,CTXC,CTXC/USD,2018-05-02 12:20:06.608871
75,Centrality,CENNZ,CENNZ/USD,2018-05-02 12:20:06.608871
76,Cryptonex,CNX,CNX/USD,2018-05-02 12:20:06.608871
77,Storm,STORM,STORM/USD,2018-05-02 12:20:06.608871
78,808Coin,808,808/USD,2018-05-02 12:20:06.608871
79,GXChain,GXS,GXS/USD,2018-05-02 12:20:06.608871
80,Dragonchain,DRGN,DRGN/USD,2018-05-02 12:20:06.608871
81,Pundi X,NPXS,NPXS/USD,2018-05-02 12:20:06.608871
82,Nxt,NXT,NXT/USD,2018-05-02 12:20:06.608871
83,Factom,FCT,FCT/USD,2018-05-02 12:20:06.608871
84,Loom Network,LOOM,LOOM/USD,2018-05-02 12:20:06.608871
85,Elastos,ELA,ELA/USD,2018-05-02 12:20:06.608871
86,SALT,SALT,SALT/USD,2018-05-02 12:20:06.608871
87,Bancor,BNT,BNT/USD,2018-05-02 12:20:06.608871
88,Fusion,FSN,FSN/USD,2018-05-02 12:20:06.608871
89,Dentacoin,DCN,DCN/USD,2018-05-02 12:20:06.608871
90,FunFair,FUN,FUN/USD,2018-05-02 12:20:06.608871
91,WAX,WAX,WAX/USD,2018-05-02 12:20:06.608871
92,Gifto,GTO,GTO/USD,2018-05-02 12:20:06.608871
93,Veritaseum,VERI,VERI/USD,2018-05-02 12:20:06.608871
94,Enigma,ENG,ENG/USD,2018-05-02 12:20:06.608871
95,Power Ledger,POWR,POWR/USD,2018-05-02 12:20:06.608871
96,Neblio,NEBL,NEBL/USD,2018-05-02 12:20:06.608871
97,ZCoin,XZC,XZC/USD,2018-05-02 12:20:06.608871
98,Nucleus Vision,NCASH,NCASH/USD,2018-05-02 12:20:06.608871
99,ChainLink,LINK,LINK/USD,2018-05-02 12:20:06.608871
100,Request Network,REQ,REQ/USD,2018-05-02 12:20:06.608871
101,Decentraland,MANA,MANA/USD,2018-05-02 12:20:06.608871
102,Monaco,MCO,MCO/USD,2018-05-02 12:20:06.608871
103,Kin,KIN,KIN/USD,2018-05-02 12:20:06.608871
104,Electroneum,ETN,ETN/USD,2018-05-02 12:20:06.608871
105,Achain,ACT,ACT/USD,2018-05-02 12:20:06.608871
106,Revain,R,R/USD,2018-05-02 12:20:06.608871
107,TenX,PAY,PAY/USD,2018-05-02 12:20:06.608871
108,Ethos [BQX],ETHOS,ETHOS/USD,2018-05-02 12:20:06.608871
109,Bottos,BTO,BTO/USD,2018-05-02 12:20:06.608871
110,MaidSafeCoin,MAID,MAID/USD,2018-05-02 12:20:06.608871
111,Byteball Bytes,GBYTE,GBYTE/USD,2018-05-02 12:20:06.608871
112,Cindicator,CND,CND/USD,2018-05-02 12:20:06.608871
113,Time New Bank,TNB,TNB/USD,2018-05-02 12:20:06.608871
114,DeepBrain Chain,DBC,DBC/USD,2018-05-02 12:20:06.608871
115,Storj,STORJ,STORJ/USD,2018-05-02 12:20:06.608871
